,买家,评价内容,图片,时间,客服回复,商品抬头,价格,追加评论,追加评论时间
0,hbtm13986941488,宝贝比其他同类型产品颜值高，正在试用中，诗诗糖糖还有夏菲服务很棒哦，物流也行,[],[2019-08-17 20:53:42],[解释] 感谢亲在茫茫的淘海中，选择了KGC，让我们遇见了彼此。这似乎是命中注定，又或是冥冥之中。遇见亲总想给您最好的见面礼，于是我偷偷将KGC真挚的爱一同放进包裹，带去你的身边，让亲感受另一种温暖。亲选购的这款按摩器功能强大，受到广大顾客认可，自动检测体形。SL导轨不仅可以行走按摩，也可以选择定点按摩，模式丰富专业，可以驱赶疲劳并放松身心。衷心感谢亲的选择，祝您生活愉快，健康好运！,【来电价】KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,只属于你0530,此用户没有填写评价。,[],[2019-08-17 20:04:00],,【88狂欢价】KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,小混子2013,试了一下不错,"[""https://img.alicdn.com/imgextra/i1/0/O1CN014Yg5wl1zPqxtsAbXu_!!0-rate.jpg_400x400.jpg""]",[2019-08-17 14:58:26],[解释] 时间总能证明我们的相遇是对的，是值得的。不早不晚，恰是适时遇见。感谢亲对KGC的支持！好的产品也是需要主人的细心呵护哦！如果使用过程中有任何问题，请即刻与我们联系，KGC将竭尽全力为亲服务！,【来电价】KGC/卡杰诗K3按摩椅家用全自动太空舱全身揉捏多功能电动老人沙发,12000.0,,
0,毕节神龙,此用户没有填写评价。,[],[2019-08-17 13:51:26],,【来电价】KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,yj15299177,外观材质：很好看，放在家里不占位置，且力度很大，很舒服！,"[""https://img.alicdn.com/imgextra/i1/0/O1CN01iPhPeN1pt22ZnVNoR_!!0-rate.jpg_400x400.jpg""]",[2019-08-17 12:31:01],[解释] 感谢亲在茫茫淘海中，选择了KGC。也感谢您的信任，让我们遇见了彼此。这似乎是命中注定，又或是冥冥之中。亲选购的这款按摩器功能强大，受到广大顾客认可~衷心感谢亲的选择，祝您生活愉快，健康好运！,KGC/卡杰诗休闲迷你智能按摩椅家用新款小型全自动电动按摩沙发椅,19800.0,[追加评论] 忘了说，售后服务诗诗人美心善,[确认收货后 0 天追加评论]
0,tb03292012,此用户没有填写评价。,[],[2019-08-17 09:36:53],,【来电价】KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,保凤凤0504,第一次在网上买这么个大件，仔细来评价一番吧。外观漂亮，皮革稍微有点味，晾晾应该就可以了。功能多样化，按摩起来还可以，就是机械滑轮按摩不是很舒服，跟人力按摩没法比，但是方便啊。因为是双气泵，所以气泵工作时噪音稍微大点。客服小雪讲解很到位，客服糖糖、诗诗等售后服务也很及时。希望卡杰诗能够将品牌一直做好，成为值得信赖的品牌。第一次写这么多评价，希望对以后的买家有帮助。还得表扬一下我们这边的安装师傅，冒着暴雨利奇马前来安装，敬业精神值得学习。,[],[2019-08-17 08:50:07],[解释] 亲亲肯定了小雪、糖糖、诗诗的服务，我们会继续努力哈~金色的落叶在半空飞舞，它在谱写着一曲曲感恩的乐章，那是大树在感恩哺育它的大地。就如同我们用更高的服务品质，为亲带来更好的消费体验，感激亲的信任。在使用中有任何问题可随时咨询在线客服哦，也可拨打售后电话4006760010！平日请留意按摩椅的保养哦~在不使用的时间里，记得拔掉电源开关，这样能延长按摩椅寿命哦。祝您生活愉快，健康常伴！,【88狂欢价】KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,viva358,用了几天才来评价，小巧玲珑，方便好用，不足就是颈部按不到，头枕多余，整个按摩椅不够柔软，一分钱一分货吧,[],[2019-08-17 08:42:12],[解释] 亲的好评对我们来说是多么重要，它是亲对KGC服务的肯定，更是对KGC工作的支持，它不仅激发了我们追求更高标准的潜力，也是对我们最大的报酬，让我们感觉到一切的付出都是那么的值得，感谢亲的支持，相信KGC会做的更好，因为有亲。也希望亲时刻记得有KGC期待亲的再次光临！,KGC/卡杰诗迷你智能小按摩椅家用新款小型全自动电动按摩沙发椅,11800.0,,
0,tp19881108,此用户没有填写评价。,[],[2019-08-17 00:09:17],,KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,tp19881108,此用户没有填写评价。,[],[2019-08-17 00:09:10],,KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,啦啦啦1999。zz,此用户没有填写评价。,[],[2019-08-16 17:36:10],,KGC/卡杰诗休闲迷你智能按摩椅家用新款小型全自动电动按摩沙发椅,19800.0,,
0,caini025,简约时尚小巧，颜值很高，力度合适，操作简单几分钟就上手了，按摩起来很舒服，就是比较瘦的人会有一点痛，建议铺一层垫子，总体来说很不错！,"[""https://img.alicdn.com/imgextra/i3/0/O1CN01Km1GE420cVWZuCmgB_!!0-rate.jpg_400x400.jpg""]",[2019-08-16 15:03:59],[解释] 亲的好评对我们来说是多么重要，它是亲对KGC服务的肯定，更是对KGC工作的支持，它不仅激发了我们追求更高标准的潜力，也是对我们最大的报酬，让我们感觉到一切的付出都是那么的值得，感谢亲的支持，相信KGC会做的更好，因为有亲。也希望亲时刻记得有KGC期待亲的再次光临！,KGC/卡杰诗休闲迷你智能按摩椅家用新款小型全自动电动按摩沙发椅,19800.0,,
0,kyounghoon,此用户没有填写评价。,[],[2019-08-16 11:16:49],,【来电价】KGC/卡杰诗高频震动mini按摩器无线便携颈部腰背全身多功能按摩器,299.0,,
0,夏日子情,椅子不错还是蛮舒服的,"[""https://img.alicdn.com/imgextra/i4/0/O1CN01xZ0Vw21WHxHJvfMbd_!!0-rate.jpg_400x400.jpg""]",[2019-08-15 17:45:11],[解释] 亲的笑容摇曳，成为我命途中美丽的点缀。亲的一个转身，与我们相遇。KGC愿用真心温暖亲，让亲感受到我们的用心。亲的光顾与信赖是我们最大的欣慰，希望KGC能给亲的生活带来更多快乐与满足，我们也会继续努力为亲提供优质的服务与产品，欢迎亲时刻关注KGC店铺微淘~,KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,ganchuqingfeng,此用户没有填写评价。,[],[2019-08-15 13:05:33],,KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,ganchuqingfeng,此用户没有填写评价。,[],[2019-08-15 13:05:24],,KGC/卡杰诗星河智能全自动全身太空舱按摩椅零重力按摩沙发椅,79800.0,,
0,changliabcdefgh,此用户没有填写评价。,[],[2019-08-15 12:50:36],,【七夕价】KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,爱micky有天,此用户没有填写评价。,[],[2019-08-15 12:22:48],,KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,爱micky有天,此用户没有填写评价。,[],[2019-08-15 12:20:17],,KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,爱micky有天,此用户没有填写评价。,[],[2019-08-15 12:18:17],,KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,黑色曼陀罗qbb,此用户没有填写评价。,[],[2019-08-15 11:34:20],,KGC/卡杰诗休闲迷你智能按摩椅家用新款小型全自动电动按摩沙发椅,19800.0,,
0,桃源河畔,按摩椅收到了，外观小巧，功能齐全，很好。,"[""https://img.alicdn.com/imgextra/i2/0/O1CN019hrg7j1USN3OaSzou_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i4/0/O1CN01YmkRwH1USN3RbKfPM_!!0-rate.jpg_400x400.jpg""]",[2019-08-15 08:32:28],[解释] 短短几句评价，却为我们内心绘上了最暖最美的色彩。KGC一定会继续努力，为亲带来更好的服务和产品。愿亲能躺在微空上，舒适享受属于自己的多彩世界。像树莓牛奶一样甜美，KGC都陪您一起体验，亲记得关注和收藏店铺哦。,KGC/卡杰诗休闲迷你智能按摩椅家用新款小型全自动电动按摩沙发椅,19800.0,,
0,tb3600760_00,此用户没有填写评价。,[],[2019-08-15 03:42:55],,KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,malian1985,按摩椅很好，家里人很喜欢，安装师傅也很专业，性价比很高，会介绍朋友来买,"[""https://img.alicdn.com/imgextra/i3/0/O1CN01AgMzxC1F0EU4gMP1r_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i2/0/O1CN01sPRqdw1F0EU4n1Ubp_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i2/0/O1CN01VzZf4L1F0EU7nnzsD_!!0-rate.jpg_400x400.jpg""]",[2019-08-14 21:51:13],[解释] 亲的每一句好评都是给我们最大的鼓励，KGC愿以真诚的服务理念与优质的产品品质，让亲感受我们的认真和努力。KGC为亲的选择感到高兴。如果亲在产品的使用过程中有任何问题，欢迎随时与我们联系，KGC愿竭诚为亲服务，成为亲生活上的好伙伴~,【七夕价】KGC/卡杰诗K3按摩椅家用全自动太空舱全身揉捏多功能电动老人沙发,12000.0,,
0,zhangji1811,按摩椅非常棒，一到家里迫不及待的就用上了！非常舒服！,[],[2019-08-14 21:25:07],[解释] 虽然只是短短几句评价，却让我们的内心又暖又澎湃。暖的是坚持的努力得到了认可，澎湃的是充满了昂扬的斗志。为了不辜负亲的满意，KGC一定继续给亲带来好的服务和产品。KGC服务电话400-676-0010全天在线，欢迎亲的来电与关注哦~,【狂欢价】KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,t_1485136206720_0784,不错，高大上,"[""https://img.alicdn.com/imgextra/i1/0/O1CN01Zqvaro1kDHrWKwhaq_!!0-rate.jpg_400x400.jpg""]",[2019-08-14 14:25:58],[解释] 当我们看到好评的那一瞬间，就感动了，因为亲的肯定就是对我们最大的支持和鼓励。亲的好评仿佛点亮了我们的色彩，也指引着我们向更高的标准前进，希望小小微空能装点您的空间，点缀您的生活。为了达到亲的更高要求，我们会努力创造更多的精彩，这也是对可爱的顾客----您---最大的回报。KGC时刻会记得亲的支持，希望亲也记得有一个期待者在时刻期待你的再次光临。,【七夕价】KGC/卡杰诗休闲迷你智能按摩椅家用新款小型全自动电动按摩沙发椅,19800.0,,
0,tb_6324235,按摩椅按摩感觉还行，就是每次开机使用就是半零重力状态忘改进，最舒服的还是气囊按摩，挤着真爽。还有个缺点就是气囊部位的地方不能取下来，以后弄脏了不好打理！声音小不吵，适合定点按着睡觉，客服诗诗有什么问题都很有耐心的一一解决，收到货后联系糖糖客服补发赠品，糖糖客服直接就先发了货，赞……? 档位调节：档位调节不了力度，只能调按摩速度 外观材质：皮质不错摸着柔软舒适,"[""https://img.alicdn.com/imgextra/i3/0/O1CN01UONzvS1haErUmaAN8_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i2/0/O1CN01CrptD31haErWwaKld_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i3/0/O1CN01oyTkjo1haErXbMp8o_!!0-rate.jpg_400x400.jpg""]",[2019-08-13 23:13:06],[解释] 非常感谢亲亲对我们KGC按摩椅的支持与认可，也非常感谢亲亲对我们产品提出的建议。按摩椅程序设计开机一键前移功能的哦，亲爱的休息的时候可以直接使用零重力哈，按摩会更加贴合的呢，后期我们也会不断的改进产品的哈，KGC祝您生活愉快~~,KGC/卡杰诗休闲迷你智能按摩椅家用新款小型全自动电动按摩沙发椅,19800.0,,
0,海啸冬,妈妈说很舒服，等用一段时间再来评价.,"[""https://img.alicdn.com/imgextra/i1/0/O1CN01476zzP24nHIkKNdLP_!!0-rate.jpg_400x400.jpg""]",[2019-08-13 21:25:38],[解释] 我们会以百分百的质量，百分百的态度，让亲爱的感受最贴心的购物体验。以超一流的性价比回馈亲爱的关爱和支持。愿亲幸福快乐每一天！,KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,qianshuguang66,此用户没有填写评价。,"[""https://img.alicdn.com/imgextra/i4/0/O1CN01OTCGkC1QEqtrF3aAd_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i4/0/O1CN01b8HYAl1QEqtrFFGDj_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i3/0/O1CN01V0ASLx1QEqtrFFrbF_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i1/0/O1CN01H3vthH1QEqtrtximO_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i2/0/O1CN01RMMdVU1QEqtsQwZTp_!!0-rate.jpg_400x400.jpg""]",[2019-08-13 21:25:14],,KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,鹿屿宸,首先要说一下，客服很赞～买之前买之后都跟我耐心讲解和介绍，一激动就买了两台，除了父母，也给自己买一个用用，物流超给力，菜鸟配送第二天就到了，椅子皮质摸起来很舒服，看着就很高档，开始还有点不会操作，后来又联系客服介绍了下使用方法，用着不要太舒服，按摩超给力～性价比很高，等两老的收到后问问他们的感受再追评～,"[""https://img.alicdn.com/imgextra/i4/0/O1CN0134WysZ2KZZIVNpy1U_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i1/0/O1CN01XBvf232KZZIWjWrkM_!!0-rate.jpg_400x400.jpg""]",[2019-08-13 14:34:26],[解释] 非常感谢您对我们产品的支持与肯定，让KGC可以坚持生产专业的健康产品，追求每一个细节的成功，感谢亲让KGC更加无所畏惧，在今后的岁月里，希望能够继续得到您的信任、关注与支持。这款按摩椅功能强大，受到广大顾客的认可，自动检测体形，不仅可以行走按摩，也可以选择定点按摩，模式丰富专业，可以舒缓全身疲劳并放松身心。衷心感谢您的选择，祝亲生活愉快，健康好运！,KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,jylai8300,宝貝收到了，手工精細外形很美，可說是最好手工，价格平靚正！我繪五星,[],[2019-08-13 14:34:16],[解释] 需要一场明媚的阳光，这一天才变得美好。有时候，一份远寄而来的惊喜更是能带给您别样的快乐与满足，这份美好的心情，从您有传递到了我们，生活就是这样，感动于您，感动于我，谢谢您对KGC的喜爱，您的满意就是我们最大的动力！,【七夕价】KGC/卡杰诗休闲迷你智能按摩椅家用新款小型全自动电动按摩沙发椅,19800.0,,
0,鹿屿宸,此用户没有填写评价。,[],[2019-08-13 14:33:58],,KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,鹿屿宸,此用户没有填写评价。,[],[2019-08-13 14:33:50],,KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,杨安安99681558550,超赞的一款按摩椅，使用时几乎没有声音，按摩的很舒服。特别要感谢客服糖糖和诗诗，不厌其烦的回答我各种问题，深夜还在帮我参谋按摩椅的最佳放置位置，非常感谢！这是一次超完美的购物体验，谢谢？,[],[2019-08-13 12:11:09],[解释] 当您轻轻的敲下对我们支持的话语时，咱们的每个客服心中都有万分的感动，更多的想法则是“要做的更加好，让亲买的放心，服务到心，让亲用的更开心”，亲亲有任何疑问，欢迎咨询咱家客服哦~,【88狂欢价】KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,姜洵198751,此用户没有填写评价。,[],[2019-08-13 11:12:48],,KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,姜洵198751,此用户没有填写评价。,[],[2019-08-13 11:12:32],,KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,nmqqq,用了几天再来确认收货评价的，外观还不错，就是按手臂的设计的不合理，手老是要够着，然后就是脖子那里可能垫的太厚了按的不是特别明显，遥控器没有放的地方。其他的都还行，再别的因为使用次数的原因还不太清楚。,[],[2019-08-12 23:04:40],[解释] 非常感谢您对我们产品的支持与肯定，让KGC可以坚持生产专业的健康产品，追求每一个细节的成功，感谢亲让KGC更加无所畏惧，在今后的岁月里，希望能够继续得到您的信任、关注与支持。这款按摩椅功能强大，受到广大顾客的认可，自动检测体形，不仅可以行走按摩，也可以选择定点按摩，模式丰富专业，可以舒缓全身疲劳并放松身心。衷心感谢您的选择，祝亲生活愉快，健康好运！,KGC/卡杰诗云光智能按摩椅全身全自动家用按摩沙发椅,25800.0,,
0,红眼病2011,大大大，相比自己试用过的其它品牌同价位的产品，大总比小的用着舒服些，按摩的点挺到位的，目前就是迫切需要试那七八个自动程序，程序三确实催眠，摇啊摇，很舒服，拉筋模式还有待试出来…另外建议配侧袋，遥控和手机什么无处安放，准备自己想办法配个…还有遥控能显示自动程序12345678就更好了,"[""https://img.alicdn.com/imgextra/i2/0/O1CN01rtVL8G1n976C5Q8wW_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i1/0/O1CN01ZP2CYv1n976D2YxPO_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i3/0/O1CN01f7IMVn1n976GNyeBq_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i4/0/O1CN01mJaxJU1n976IdE9Ch_!!0-rate.jpg_400x400.jpg""]",[2019-08-12 22:54:08],[解释] 您每次的好评都让我们万分期待，也是对我们最大的鼓励，我们一定加倍努力，让你买的开心，用的放心，生活更添舒心。感谢您一如既往对KGC的支持，不论何时，我们都会陪伴在您的身边，为服务做好120分的准备与努力，祝亲爱的生活愉快，健康好运。,【七夕价】KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,奥迪它爹,按摩椅很不错，快递很给力，按摩椅按的也很舒服！,"[""https://img.alicdn.com/imgextra/i4/0/O1CN01o39JsU1LhBJr99NUe_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i3/0/O1CN01OeeTZJ1LhBJti9H9S_!!0-rate.jpg_400x400.jpg""]",[2019-08-12 20:27:38],[解释] 日益累积的努力终能被看到，脱颖而出也并不是没有理由，KGC好产品、好服务，经得起时间考验，任何问题交给我们，定不负所望！谢谢亲爱的一直以来支持和信任，祝您生活愉快~~,KGC/卡杰诗休闲迷你智能按摩椅家用新款小型全自动电动按摩沙发椅,19800.0,,
